age,sex,year,pops,reg
0,men,0,392935,Overall
1,men,0,396884,Overall
2,men,0,404718,Overall
3,men,0,417312,Overall
4,men,0,409813,Overall
5,men,0,395634,Overall
6,men,0,400507,Overall
7,men,0,414996,Overall
8,men,0,421927,Overall
9,men,0,438381,Overall
10,men,0,483169,Overall
11,men,0,475726,Overall
12,men,0,489921,Overall
13,men,0,480312,Overall
14,men,0,470534,Overall
15,men,0,453929,Overall
16,men,0,454887,Overall
17,men,0,459468,Overall
18,men,0,473417,Overall
19,men,0,473102,Overall
20,men,0,477650,Overall
21,men,0,457801,Overall
22,men,0,457650,Overall
23,men,0,458601,Overall
24,men,0,455090,Overall
25,men,0,447628,Overall
26,men,0,456302,Overall
27,men,0,466330,Overall
28,men,0,515008,Overall
29,men,0,574313,Overall
30,men,0,601720,Overall
31,men,0,651384,Overall
32,men,0,685560,Overall
33,men,0,704449,Overall
34,men,0,728342,Overall
35,men,0,736331,Overall
36,men,0,749932,Overall
37,men,0,744886,Overall
38,men,0,720896,Overall
39,men,0,709640,Overall
40,men,0,689345,Overall
41,men,0,670445,Overall
42,men,0,636807,Overall
43,men,0,625111,Overall
44,men,0,608951,Overall
45,men,0,590209,Overall
46,men,0,578076,Overall
47,men,0,559480,Overall
48,men,0,561028,Overall
49,men,0,551799,Overall
50,men,0,555783,Overall
51,men,0,541240,Overall
52,men,0,499508,Overall
53,men,0,470022,Overall
54,men,0,413161,Overall
55,men,0,363177,Overall
56,men,0,486226,Overall
57,men,0,496435,Overall
58,men,0,482519,Overall
59,men,0,582627,Overall
60,men,0,612708,Overall
61,men,0,599067,Overall
62,men,0,556196,Overall
63,men,0,516423,Overall
64,men,0,496994,Overall
65,men,0,476487,Overall
66,men,0,438602,Overall
67,men,0,348349,Overall
68,men,0,341213,Overall
69,men,0,340990,Overall
70,men,0,351468,Overall
71,men,0,333656,Overall
72,men,0,321726,Overall
73,men,0,279219,Overall
74,men,0,251307,Overall
75,men,0,229926,Overall
76,men,0,191395,Overall
77,men,0,177525,Overall
78,men,0,176183,Overall
79,men,0,168418,Overall
80,men,0,151113,Overall
81,men,0,105464,Overall
82,men,0,61600,Overall
83,men,0,53501,Overall
84,men,0,52068,Overall
85,men,0,59120,Overall
86,men,0,64986,Overall
87,men,0,56071,Overall
88,men,0,46336,Overall
89,men,0,34754,Overall
90,men,0,30662.7448857556,Overall
91,men,0,26431.0797916194,Overall
92,men,0,19709.006904431,Overall
93,men,0,11440.138001426,Overall
94,men,0,4651.41615538974,Overall
95,men,0,1192.05767556191,Overall
0,women,0,373405,Overall
1,women,0,375550,Overall
2,women,0,384336,Overall
3,women,0,396212,Overall
4,women,0,388462,Overall
5,women,0,375908,Overall
6,women,0,379620,Overall
7,women,0,394143,Overall
8,women,0,402571,Overall
9,women,0,417387,Overall
10,women,0,458947,Overall
11,women,0,453805,Overall
12,women,0,465085,Overall
13,women,0,455264,Overall
14,women,0,448952,Overall
15,women,0,433428,Overall
16,women,0,432187,Overall
17,women,0,436924,Overall
18,women,0,450992,Overall
19,women,0,456966,Overall
