sex,year,age,mu,sigma,nu,tau
women,-1,20,21.689747288703,0.157398270592314,-2.01897790762993,2.25960848699566
women,0,20,21.6489623961739,0.157109474309288,-2.01053815441259,2.22955984543522
women,1,20,21.6082541946009,0.156821207913235,-2.00209840119524,2.19991079560263
women,2,20,21.5676225397762,0.156533470431911,-1.99365864797791,2.17065602366207
women,3,20,21.5270672877631,0.156246260894857,-1.98521889476057,2.1417902864419
women,4,20,21.4865882948954,0.155959578333395,-1.97677914154321,2.1133084104951
women,5,20,21.4461854177775,0.155673421780623,-1.96833938832587,2.08520529117195
women,6,20,21.4058585132828,0.155387790271414,-1.95989963510853,2.05747589170519
women,7,20,21.3656074385544,0.155102682842412,-1.95145988189118,2.03011524230732
women,8,20,21.3254320510036,0.154818098532028,-1.94302012867384,2.00311843927991
women,9,20,21.2853322083101,0.154534036380436,-1.93458037545648,1.97648064413464
women,10,20,21.2453077684212,0.154250495429575,-1.92614062223913,1.95019708272629
women,11,20,21.2053585895511,0.153967474723138,-1.91770086902179,1.92426304439694
women,12,20,21.1654845301807,0.153684973306575,-1.90926111580443,1.89867388113176
women,13,20,21.1256854490573,0.153402990227086,-1.90082136258708,1.87342500672601
women,14,20,21.0859612051933,0.15312152453362,-1.89238160936974,1.84851189596302
women,15,20,21.0463116578666,0.15284057527687,-1.88394185615239,1.82393008380322
women,16,20,21.0067366666195,0.152560141509273,-1.87550210293506,1.79967516458384
women,17,20,20.9672360912586,0.152280222285002,-1.86706234971771,1.7757427912293
women,18,20,20.927809791854,0.152000816659967,-1.85862259650037,1.75212867447223
women,19,20,20.8884576287388,0.15172192369181,-1.85018284328304,1.72882858208453
women,20,20,20.849179462509,0.151443542439901,-1.84174309006568,1.70583833811903
women,21,20,20.8099751540225,0.151165671965338,-1.83330333684832,1.68315382216098
women,22,20,20.7708445643991,0.150888311330939,-1.82486358363097,1.66077096858953
women,23,20,20.7317875550193,0.150611459601245,-1.81642383041363,1.63868576584916
women,24,20,20.6928039875248,0.150335115842509,-1.80798407719628,1.61689425573066
women,25,20,20.653893723817,0.150059279122702,-1.79954432397894,1.59539253266172
women,26,20,20.6150566260573,0.149783948511501,-1.79110457076159,1.57417674300699
women,27,20,20.5762925566662,0.149509123080292,-1.78266481754425,1.55324308437734
women,28,20,20.5376013783227,0.149234801902165,-1.7742250643269,1.53258780494848
women,29,20,20.4989829539643,0.14896098405191,-1.76578531110956,1.51220720278849
women,30,20,20.460437146786,0.148687668606015,-1.75734555789221,1.49209762519429
women,31,20,20.4219638202404,0.148414854642661,-1.74890580467485,1.4722554680371
women,32,20,20.3835628380364,0.148142541241724,-1.7404660514575,1.45267717511642
women,33,20,20.3452340641394,0.147870727484765,-1.73202629824017,1.43335923752265
women,34,20,20.3069773627707,0.14759941245503,-1.72358654502283,1.41429819300828
women,35,20,20.2687925984068,0.147328595237449,-1.71514679180548,1.3954906253673
women,36,20,20.2306796357789,0.147058274918631,-1.70670703858814,1.37693316382298
women,37,20,20.1926383398729,0.146788450586858,-1.69826728537079,1.35862248242374
women,38,20,20.1546685759282,0.146519121332089,-1.68982753215343,1.34055529944701
women,39,20,20.1167702094379,0.14625028624595,-1.68138777893609,1.32272837681112
women,40,20,20.0789431061477,0.145981944421733,-1.67294802571874,1.30513851949497
women,41,20,20.0411871320563,0.145714094954396,-1.6645082725014,1.2877825749653
women,42,20,20.0035021534137,0.145446736940557,-1.65606851928405,1.27065743261183
women,43,20,19.9658880367218,0.14517986947849,-1.6476287660667,1.25376002318961
women,44,20,19.9283446487336,0.144913491668125,-1.63918901284936,1.23708731826905
women,45,20,19.8908718564523,0.144647602611043,-1.63074925963201,1.22063632969312
women,46,20,19.8534695271315,0.144382201410474,-1.62230950641467,1.20440410904175
women,47,20,19.8161375282743,0.144117287171293,-1.61386975319732,1.18838774710347
women,48,20,19.7788757276329,0.143852859000016,-1.60542999997998,1.17258437335397
women,49,20,19.7416839932083,0.143588916004801,-1.59699024676263,1.15699115544163
women,50,20,19.7045621932495,0.14332545729544,-1.58855049354529,1.1416052986799
men,-1,20,24.3066199170781,0.12565356032093,-0.960510011609713,1.43092590329379
men,0,20,24.3207932507363,0.125247810394041,-0.963368479563867,1.40785246009324
men,1,20,24.334974848949,0.124843370680748,-0.966226947518021,1.38515107234286
men,2,20,24.3491647165354,0.12444023695022,-0.96908541547219,1.36281574071015
men,3,20,24.3633628583175,0.124038404985286,-0.971943883426344,1.34084056260083
men,4,20,24.3775692791198,0.123637870582396,-0.974802351380487,1.319219730599
men,5,20,24.3917839837701,0.12323862955157,-0.977660819334641,1.29794753093235
men,6,20,24.4060069770986,0.122840677716359,-0.980519287288796,1.27701834196222
men,7,20,24.4202382639385,0.122444010913802,-0.98337775524295,1.25642663269795
men,8,20,24.4344778491259,0.122048624994379,-0.986236223197104,1.23616696133516
men,9,20,24.4487257374995,0.121654515821969,-0.989094691151262,1.21623397381768
men,10,20,24.462981933901,0.121261679273809,-0.991953159105416,1.19662240242261
men,11,20,24.4772464431748,0.120870111240447,-0.99481162705957,1.17732706436824
men,12,20,24.4915192701682,0.120479807625702,-0.99767009501371,1.15834286044429
men,13,20,24.5058004197314,0.120090764346618,-1.00052856296786,1.13966477366444
men,14,20,24.5200898967172,0.119702977333427,-1.00338703092202,1.12128786794047
men,15,20,24.5343877059815,0.1193164425295,-1.00624549887618,1.10320728677769
men,16,20,24.5486938523829,0.118931155891307,-1.00910396683034,1.08541825199167
men,17,20,24.5630083407827,0.118547113388376,-1.0119624347845,1.06791606244535
men,18,20,24.5773311760452,0.118164311003252,-1.01482090273865,1.05069609280676
men,19,20,24.5916623630376,0.117782744731449,-1.01767937069281,1.0337537923266
men,20,20,24.6060019066298,0.117402410581413,-1.02053783864695,1.0170846836357
men,21,20,24.6203498116946,0.117023304574481,-1.02339630660109,1.00068436156171
men,22,20,24.6347060831075,0.116645422744837,-1.02625477455526,0.98454849196494
men,23,20,24.6490707257472,0.116268761139469,-1.02911324250941,0.968672810592997
men,24,20,24.6634437444948,0.115893315818132,-1.03197171046357,0.953053121953837
men,25,20,24.6778251442345,0.115519082853304,-1.03483017841772,0.937685298207057
men,26,20,24.6922149298534,0.115146058330144,-1.03768864637188,0.922565278072973
men,27,20,24.7066131062413,0.114774238346455,-1.04054711432603,0.907689065759373
men,28,20,24.7210196782909,0.114403619012638,-1.04340558228019,0.893052729905531
men,29,20,24.7354346508977,0.114034196451657,-1.04626405023434,0.878652402543254
men,30,20,24.7498580289603,0.113665966798991,-1.0491225181885,0.864484278074717
men,31,20,24.7642898173798,0.113298926202603,-1.05198098614264,0.850544612266697
men,32,20,24.7787300210603,0.112933070822891,-1.05483945409679,0.836829721261155
men,33,20,24.7931786449089,0.112568396832654,-1.05769792205095,0.823335980601617
men,34,20,24.8076356938355,0.112204900417047,-1.0605563900051,0.810059824275379
men,35,20,24.8221011727526,0.111842577773546,-1.06341485795926,0.796997743771098
men,36,20,24.836575086576,0.111481425111904,-1.06627332591343,0.784146287151612
men,37,20,24.8510574402241,0.111121438654114,-1.06913179386758,0.77150205814165
men,38,20,24.8655482386181,0.110762614634368,-1.07199026182172,0.759061715230342
men,39,20,24.8800474866822,0.11040494929902,-1.07484872977588,0.746821970788107
men,40,20,24.8945551893436,0.110048438906542,-1.07770719773003,0.734779590197852
men,41,20,24.909071351532,0.10969307972749,-1.08056566568419,0.722931391000159
men,42,20,24.9235959781804,0.109338868044462,-1.08342413363834,0.711274242052224
men,43,20,24.9381290742244,0.108985800152061,-1.0862826015925,0.699805062700417
men,44,20,24.9526706446026,0.108633872356855,-1.08914106954665,0.688520821966137
men,45,20,24.9672206942563,0.108283080977335,-1.0919995375008,0.677418537744795
men,46,20,24.9817792281299,0.107933422343886,-1.09485800545496,0.666495276017767
men,47,20,24.9963462511706,0.107584892798737,-1.0977164734091,0.65574815007697
men,48,20,25.0109217683285,0.107237488695933,-1.10057494136326,0.645174319762034
men,49,20,25.0255057845566,0.106891206401289,-1.10343340931741,0.634770990709688
men,50,20,25.0400983048107,0.106546042292356,-1.10629187727158,0.62453541361531
women,-1,21,21.8451996077549,0.157923472218697,-1.99212956306064,2.26734901121808
women,0,21,21.8036744274679,0.157659870562243,-1.9846376364022,2.23836991700657
women,1,21,21.7622281817124,0.157396708902657,-1.97714570974377,2.20976120595937
women,2,21,21.7208607204431,0.15713398650551,-1.96965378308534,2.18151814419185
women,3,21,21.6795718938999,0.156871702637594,-1.96216185642689,2.15363605832335
women,4,21,21.6383615526073,0.15660985656693,-1.95466992976846,2.12611033470401
women,5,21,21.5972295473741,0.156348447562758,-1.94717800311002,2.09893641865112
women,6,21,21.5561757292924,0.156087474895537,-1.93968607645159,2.07210981369571
women,7,21,21.5151999497376,0.155826937836947,-1.93219414979315,2.04562608083828
women,8,21,21.4743020603675,0.155566835659881,-1.92470222313471,2.01948083781448
women,9,21,21.4334819131221,0.155307167638445,-1.9172102964763,1.99366975836982
women,10,21,21.3927393602225,0.155047933047959,-1.90971836981785,1.96818857154389
women,11,21,21.3520742541709,0.154789131164952,-1.90222644315942,1.94303306096369
women,12,21,21.31148644775,0.154530761267159,-1.89473451650099,1.91819906414575
women,13,21,21.270975794022,0.154272822633523,-1.88724258984256,1.89368247180765
women,14,21,21.2305421463288,0.154015314544188,-1.87975066318412,1.86947922718775
women,15,21,21.1901853582908,0.153758236280503,-1.87225873652569,1.8455853253742
women,16,21,21.1499052838068,0.153501587125012,-1.86476680986725,1.82199681264206
women,17,21,21.1097017770532,0.153245366361461,-1.85727488320881,1.79870978579909
women,18,21,21.0695746924837,0.152989573274789,-1.84978295655038,1.77572039154003
women,19,21,21.0295238848286,0.152734207151128,-1.84229102989193,1.7530248258088
women,20,21,20.9895492090945,0.152479267277805,-1.8347991032335,1.73061933316923
women,21,21,20.9496505205633,0.152224752943332,-1.82730717657505,1.70850020618349
women,22,21,20.9098276747923,0.151970663437412,-1.81981524991664,1.68666378479871
women,23,21,20.8700805276131,0.151716998050933,-1.81232332325821,1.66510645574132
women,24,21,20.8304089351317,0.151463756075964,-1.80483139659977,1.64382465191916
women,25,21,20.7908127537273,0.15121093680576,-1.79733946994133,1.62281485183128
